client_id,proof_generation_time,proof_size_bytes,constraint_count,variable_count,verification_time,memory_usage_mb,cpu_usage_percent,timestamp
enhanced_client_1,0.24878692626953125,2,0,0,0.024878692626953126,388.65234375,27.1,1759158231.0951166
enhanced_client_1,0.23230314254760742,2,0,0,0.023230314254760742,465.17578125,35.3,1759158236.3329906
enhanced_client_1,0.23215103149414062,2,0,0,0.023215103149414065,403.4375,35.2,1759158241.6662574
enhanced_client_1,0.2495098114013672,2,0,0,0.02495098114013672,459.90234375,44.1,1759158246.9946802
